Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Original Input3,Original Input12,Average Input
1.216,2.196,-1.3485369508107046,2.573,0.275,0.136,0.083,0.066,0.237,0.945,0.704,0.19787985865724433,2.893,4.91,0.6066952423205451
1.151,2.411,-1.4410918948542435,2.521,0.173,-0.176,0.192,0.117,0.24,1.077,1.051,0.4284452296819792,2.783,5.171,0.6453627779023113
1.129,2.266,-1.505880355684721,2.61,0.32,0.094,0.085,0.149,0.199,0.98,0.991,0.5035335689045946,2.706,5.256,0.651721101101656
1.216,2.288,-1.367889348201626,2.572,0.266,0.181,0.258,0.311,0.254,0.969,1.085,0.5565371024734986,2.87,5.316,0.7157206461893226
1.184,2.556,-1.3384400478241367,2.506,0.243,0.178,0.212,0.158,0.208,1.027,1.08,0.028268551236749317,2.905,4.718,0.6701523752843844
1.156,2.253,-1.217277211985322,2.611,0.226,0.245,0.138,0.146,0.332,0.89,0.975,0.8144876325088344,3.049,5.608,0.7141008683769593
1.178,2.397,-1.2290569321363176,2.538,0.094,0.297,0.151,0.134,0.203,0.958,0.806,0.7659010600706715,3.035,5.553,0.6910703439945296
1.145,2.333,-1.2787000384869431,2.614,0.188,0.142,0.187,0.096,0.225,0.914,1.005,0.8674911660777394,2.976,5.668,0.7031492606325663
1.293,2.214,-1.322453284762071,2.708,0.14,0.22,0.143,0.171,0.116,1.011,1.072,0.12455830388692579,2.924,4.827,0.6575087515937378
1.229,2.206,-1.4419333034364574,2.417,0.234,0.084,0.101,0.078,0.092,1.01,1.055,0.781802120141343,2.782,5.571,0.6538224013920737
1.178,2.406,-1.191193545936688,2.687,0.253,-0.092,0.178,0.261,0.171,1.222,1.116,0.6501766784452299,3.08,5.422,0.7365819277090452
1.201,2.244,-1.4032285086546141,2.588,0.126,0.034,0.004,0.223,0.294,0.984,0.96,0.8162544169611312,2.828,5.61,0.6725854923588764
1.288,2.246,-1.4074355515656838,2.693,0.242,0.082,0.161,0.142,0.145,0.898,0.909,0.2349823321554778,2.823,4.952,0.6361288983824828
1.289,2.371,-1.4040699172368278,2.773,0.218,-0.087,0.204,0.046,0.223,0.929,1.072,0.37897526501766876,2.827,5.115,0.6677421123150701
1.273,2.264,-1.4427747120186714,2.708,0.107,0.145,0.217,0.172,0.276,0.867,0.957,0.07155477031802171,2.781,4.767,0.6345650048582792
1.245,2.18,-1.3805104769348362,2.844,0.209,0.208,0.339,0.151,0.32,1.013,0.869,0.9045936395759719,2.855,5.71,0.7418402635534281
1.304,2.354,-1.4570786579163095,2.815,0.173,0.154,0.074,-0.01,0.142,0.978,0.864,0.3966431095406362,2.764,5.135,0.6489637043020272
1.266,2.294,-1.3813518855170501,2.786,0.309,0.06,0.225,0.067,0.295,0.98,0.978,0.45936395759717374,2.854,5.206,0.6948343393400102
1.263,2.195,-1.204656083252112,2.957,0.223,0.215,0.099,0.173,0.155,0.96,1.066,0.7376325088339231,3.064,5.521,0.7365813687984843
1.26,2.338,-1.4200566802988939,2.762,0.212,0.11,0.189,0.051,0.321,1.005,0.851,0.09010600706713845,2.808,4.788,0.647420777230687
1.548,2.192,-1.3207704675976426,2.717,0.326,0.16,0.15,0.145,0.215,1.014,0.823,0.7155477031802127,2.926,5.496,0.7237314362985474
2.385,2.198,-1.1583786112303422,3.724,0.721,0.196,0.315,0.244,0.531,0.939,0.97,0.5114840989399294,3.119,5.265,0.9646754573091324
3.059,2.053,-0.7359915029589191,5.443,1.001,0.808,0.505,0.355,0.719,0.938,0.89,0.4187279151943466,3.621,5.16,1.2878113676862857
3.533,1.93,0.3023066874931461,5.397,1.2,1.376,0.648,0.355,0.99,0.908,1.019,0.5724381625441701,4.855,5.334,1.5192287375031095
3.655,1.741,0.5488394020818448,5.406,1.262,1.685,0.731,0.362,1.224,1.132,1.067,0.7659010600706715,5.148,5.553,1.63164503851271
3.846,1.649,0.4049585345232529,5.604,1.299,1.918,0.69,0.488,1.155,1.445,1.472,0.3153710247349828,4.977,5.043,1.69052746327152
3.931,1.638,0.6489670233653103,5.641,1.313,2.229,0.782,0.293,1.29,1.77,1.692,0.4620141342756181,5.267,5.209,1.8074984298034107
3.958,1.611,0.5606191222328409,5.698,1.453,2.034,0.67,0.464,1.37,2.307,1.951,0.05565371024735022,5.162,4.749,1.8443560693733492
4.181,1.429,0.7701298592041244,5.656,1.442,2.198,0.774,0.62,1.45,2.952,1.982,0.349823321554771,5.411,5.082,1.9836627650632412
3.851,1.362,0.9123279095982892,5.881,1.469,2.28,0.831,0.596,1.404,3.74,2.194,0.42049469964664343,5.58,5.162,2.0784018841037444
4.106,1.47,0.9123279095982892,5.66,1.42,2.239,0.787,0.519,1.417,3.942,2.24,0.06360424028268596,5.58,4.758,2.0646610124900815
3.966,1.372,0.8248214170480341,5.612,1.422,2.305,0.795,0.459,1.394,4.365,2.195,0.7500000000000009,5.476,5.535,2.1216517847540026
4.135,1.322,0.5328526390197789,5.59,1.346,2.283,0.72,0.51,1.416,4.736,2.406,0.5795053003533575,5.129,5.342,2.131363161614428
4.02,1.193,0.7877994394306188,5.841,1.461,2.368,0.781,0.516,1.387,5.017,2.512,0.5282685512367493,5.432,5.284,2.2010056658889474
4.144,1.035,0.9299974898247829,5.763,1.46,2.262,0.866,0.478,1.335,4.937,2.59,0.6819787985865728,5.601,5.458,2.206831357367613
4.0,1.077,0.6262489916455324,5.674,1.34,2.321,0.795,0.41,1.404,5.135,2.617,0.6307420494699656,5.24,5.4,2.1691659200929583
4.26,1.172,0.8096760625681825,5.496,1.383,2.253,0.807,0.382,1.479,5.106,2.795,0.6086572438162552,5.458,5.375,2.2126111088653695
4.265,1.145,0.8820372006385852,5.806,1.355,2.28,0.725,0.342,1.382,4.994,2.731,0.6492932862190823,5.544,5.421,2.2130275405714723
4.211,1.066,1.005724262224042,5.576,1.392,2.218,0.886,0.548,1.359,5.184,2.683,0.5901060070671384,5.691,5.354,2.2265691891075985
3.998,1.022,0.5681917994727671,5.742,1.368,2.38,0.706,0.453,1.243,5.015,2.778,0.6978798586572443,5.171,5.476,2.1642559715108343
3.947,1.051,0.6944030868048653,5.826,1.326,2.264,0.806,0.55,1.373,5.123,2.716,0.39575971731448867,5.321,5.134,2.1726802336766133
4.224,1.068,0.8786715663097295,5.73,1.364,2.257,0.721,0.498,1.453,5.215,2.733,0.419611307420495,5.54,5.161,2.2134402394775186
3.976,1.061,0.5269627789442812,5.8,1.39,2.283,0.773,0.436,1.368,5.227,2.777,0.6766784452296823,5.122,5.452,2.1912201020144972
4.191,0.978,0.6851475924005113,5.581,1.256,2.136,0.818,0.428,1.205,5.2,2.726,0.6227915194346298,5.31,5.391,2.1522449259862615
3.962,1.077,0.9030724151939352,5.802,1.384,2.234,0.673,0.409,1.465,5.131,2.842,0.7270318021201421,5.569,5.509,2.2174253514428393
3.995,1.051,0.8012619767460427,5.458,1.273,2.344,0.659,0.468,1.425,4.933,2.999,0.12897526501766787,5.448,4.832,2.1279364368136426
3.96,0.884,0.572398842383837,5.793,1.283,2.135,0.692,0.504,1.207,5.046,2.773,0.3374558303886923,5.176,5.068,2.0989045560643773
4.021,1.074,0.81977296555475,5.677,1.443,2.18,0.701,0.448,1.292,4.972,2.784,0.45318021201413483,5.47,5.199,2.1554127647974073
4.207,1.001,0.6582225177696636,5.837,1.262,2.181,0.779,0.359,1.346,4.966,2.947,0.8250883392226154,5.278,5.62,2.19735923808269
4.136,1.101,0.9358873499002807,5.519,1.3,2.136,0.702,0.653,1.296,5.165,2.784,0.6007067137809186,5.608,5.366,2.1940495053067663
3.888,0.9,0.6447599804542397,5.693,1.283,2.118,0.785,0.563,1.328,5.128,2.838,0.30212014134275655,5.262,5.028,2.122573343483083
4.0,1.084,0.5177072845399272,5.505,1.215,2.072,0.742,0.502,1.309,5.206,2.827,0.58922261484099,5.111,5.353,2.1307441582817432
3.9,0.922,0.5740816595482647,5.461,1.277,2.295,0.734,0.208,1.265,5.049,2.783,0.4734982332155484,5.178,5.222,2.078464991063651
4.087,1.075,0.6582225177696636,5.575,1.281,2.048,0.714,0.431,1.318,5.089,2.853,0.7234982332155484,5.278,5.505,2.154393395915435
3.978,1.052,1.005724262224042,5.625,1.219,2.107,0.753,0.443,1.381,5.021,2.755,0.6236749116607783,5.691,5.392,2.163616597823735
4.103,1.027,0.7019757640447915,5.505,1.244,2.015,0.713,0.37,1.273,5.154,2.915,0.7367491166077738,5.33,5.52,2.146477073387714
4.161,1.049,0.6859890009827255,5.22,1.215,2.031,0.673,0.442,1.204,5.175,2.719,0.3586572438162543,5.311,5.092,2.0778038537332484
3.894,1.003,0.9855304562509062,5.713,1.16,2.052,0.687,0.382,1.266,5.077,2.744,0.2446996466431104,5.667,4.963,2.100685841907834
